       Z A ab        |   abs_cyburt_sens    |   rel_cyburt_sens    | 
      95 50 gp       | 7.699711283401086e+37 |  7.078127125272957   | 
      97 42 pg       | 7.695124430985639e+37 |  7.073910561390699   | 
      75 39 pg       | 7.694765913516149e+37 |  7.0735809864063555  | 
      46 22 pg       | 7.691584351264683e+37 |  7.070656266083218   | 
      86 39 pa       | 7.688408764238524e+37 |  7.067737038615952   | 
     109 49 pa       | 7.68344352517245e+37 |  7.063172634572283   | 
      95 43 pg       | 7.682038771302321e+37 |  7.061881284012954   | 
      68 30 pg       | 7.677268350396406e+37 |  7.0574959708018055  | 
      60 29 pg       | 7.663473127441141e+37 |  7.044814411947859   | 
     101 48 pg       | 7.662596394707323e+37 |  7.044008456306609   | 
      92 40 pg       | 7.661076950884911e+37 |  7.042611674513255   | 
      25 15 gp       | 7.660262751511945e+37 |   7.04186320402455   | 
      76 35 pg       | 7.656707810455392e+37 |  7.0385952471109725  | 
      46 22 pg       | 7.64114057238194e+37 |  7.0242847248046605  | 
      73 33 pa       | 7.634588233110538e+37 |  7.018261344365593   | 
      82 36 pg       | 7.628753148583774e+37 |  7.012897315956348   | 
      63 30 ag       | 7.610764988803298e+37 |  6.996361308697166   | 
      54 29 pg       | 7.607922325111956e+37 |  6.993748128249076   | 
      83 38 pg       | 7.597145649319109e+37 |  6.983841434550825   | 
      53 25 ag       | 7.592542444506851e+37 |  6.979609838372008   | 
      48 24 ap       | 7.567735558008294e+37 |  6.956805568217421   | 
      41 19 ag       | 7.560096270697404e+37 |  6.949782987143566   | 
      30 15 pg       | 7.557963172107786e+37 |   6.94782208985374   | 
      52 28 ap       | 7.556984005710767e+37 |  6.946921969838872   | 
      45 25 gp       | 7.556046653058984e+37 |  6.946060288019083   | 
      36 18 pg       | 7.554349980489017e+37 |  6.944500584843448   | 
      56 26 ag       | 7.554067530772978e+37 |  6.944240936796523   | 
      21 12 ag       | 7.552831118478849e+37 |  6.943104337893657   | 
      99 44 pg       | 7.541398829668884e+37 |   6.93259495766479   | 
      76 34 pg       | 7.538849232541937e+37 |  6.930251185032475   | 
      18 8 pg        | 7.531398115307294e+37 |  6.923401583395357   | 
      62 30 ag       | 7.528364890397473e+37 |  6.9206132254010075  | 
      99 47 pg       | 7.52642086156122e+37 |  6.918826134595686   | 
      26 16 ag       | 7.525065458558763e+37 |  6.917580150895226   | 
      32 17 ap       | 7.520452566663331e+37 |  6.913339649654433   | 
     109 49 ag       | 7.513312779718945e+37 |  6.906776245160465   | 
      71 32 pg       | 7.509797813483108e+37 |  6.903545035970592   | 
      83 41 pa       | 7.505022903736231e+37 |  6.899155596294723   | 
      48 28 gp       | 7.503827963572871e+37 |  6.898057121550404   | 
     100 45 pa       | 7.503272866752848e+37 |  6.897546836720968   | 
      29 17 pg       | 7.5010939422908645e+37 |  6.895543813000906   | 
     105 52 pa       | 7.500215054459415e+37 |  6.8947358762392685  | 
      71 37 gp       | 7.498671508311648e+37 |   6.89331693785892   | 
      25 13 ap       | 7.498522998007187e+37 |  6.893180416530302   | 
      20 10 ag       | 7.48444001921325e+37 |   6.88023433186075   | 
      50 26 pg       | 7.482918615828653e+37 |  6.878835748697221   | 
     117 52 pa       | 7.478600833506244e+37 |  6.8748665333523356  | 
      20 12 ag       | 7.478316220442992e+37 |  6.874604896601415   | 
      86 40 pg       | 7.477947956366431e+37 |  6.874266361836458   | 
